t,y,temperature,calendar
0,145.6334,52.2834,0
1,149.7061,58.3604,1
2,167.3487,58.0466,2
3,160.7097,61.3355,3
4,141.3881,60.9787,4
5,140.1401,61.5789,5
6,137.5503,51.5817,6
7,138.3564,55.5727,0
8,160.4260,62.9086,1
9,152.8818,55.2025,2
10,144.6419,58.9124,3
11,147.2902,60.5109,4
12,141.3957,58.4975,5
13,139.5444,61.4453,6
14,143.3005,62.0981,0
15,157.4485,58.9819,1
16,152.5033,57.9541,2
17,156.1197,64.6126,3
18,139.6120,61.9547,4
19,146.8911,68.6914,5
20,141.9733,58.9789,6
21,156.0423,58.4294,0
22,143.4579,59.1908,1
23,155.5901,63.7765,2
24,155.1916,63.6661,3
25,156.8137,68.7784,4
26,132.4247,64.6932,5
27,138.6521,58.3333,6
28,148.9718,60.1300,0
29,157.3009,62.6230,1
30,172.1389,66.0658,2
31,158.5139,64.1337,3
32,154.0135,66.8108,4
33,144.6973,64.2866,5
34,144.3339,63.0837,6
35,151.3650,68.8988,0
36,151.3921,61.8779,1
37,165.8492,66.0325,2
38,162.4963,70.7846,3
39,155.6485,71.2900,4
40,138.7600,58.8547,5
41,143.7324,65.7946,6
42,150.7046,67.2200,0
43,162.3202,68.6656,1
44,171.8604,71.2444,2
45,165.5016,75.4470,3
46,154.4543,73.4699,4
47,142.1075,68.0001,5
48,155.0800,66.8555,6
49,163.2057,72.2898,0
50,173.3449,72.7826,1
51,164.1806,68.5911,2
52,172.6559,71.8361,3
53,154.3304,66.6954,4
54,153.4448,70.4631,5
55,142.4502,66.1359,6
56,168.8594,72.9791,0
57,170.8901,67.3134,1
58,168.0836,67.7758,2
59,171.0428,60.4219,3
60,156.6356,77.4196,4
61,148.1873,73.5674,5
62,145.9693,73.7019,6
63,158.5632,64.7035,0
64,168.4390,71.0543,1
65,172.2177,73.4574,2
66,166.8259,69.3080,3
67,155.7011,70.6617,4
68,151.6142,74.9850,5
69,163.6918,81.4461,6
70,162.2378,74.3792,0
71,172.9814,71.3696,1
72,170.0486,69.6009,2
73,176.3646,72.9431,3
74,161.0074,70.1322,4
75,159.9253,77.7022,5
76,170.4859,69.4255,6
77,162.7839,67.6800,0
78,185.6882,82.3620,1
79,175.1701,79.9587,2
80,168.8293,68.6883,3
81,171.8735,79.5081,4
82,157.3270,76.8167,5
83,157.3573,81.5744,6
84,163.0849,74.9924,0
85,180.9136,78.3324,1
86,180.2152,73.9152,2
87,168.9073,64.7101,3
88,158.8139,71.4190,4
89,155.7311,75.2716,5
90,155.1846,68.0399,6
91,169.1555,71.0744,0
92,179.4735,76.0788,1
93,175.5515,77.9559,2
94,176.0676,83.2902,3
95,167.7715,75.7588,4
96,160.2091,77.6940,5
97,158.2196,74.6237,6
98,175.8946,80.5996,0
99,179.1418,74.8784,1
100,179.6517,75.8395,2
101,177.6683,74.7977,3
102,162.7442,77.1035,4
103,153.8755,71.2823,5
104,149.3551,72.2421,6
105,173.2445,76.6198,0
106,169.9169,77.0790,1
107,178.5005,76.2655,2
108,169.6448,71.7044,3
109,170.6200,80.2461,4
110,165.0427,75.7945,5
111,174.8497,80.5056,6
112,175.7099,74.4772,0
113,175.9164,74.8401,1
114,172.8847,72.3115,2
115,181.6458,76.1293,3
116,172.6053,73.6468,4
117,162.5946,74.9160,5
118,165.4756,73.4583,6
119,159.6974,68.1506,0
120,175.5736,70.7994,1
121,175.3886,72.3438,2
122,180.4749,72.4018,3
123,162.4753,65.1520,4
124,156.9975,73.5028,5
125,155.7217,61.5374,6
126,162.4769,68.5744,0
127,177.0970,69.6226,1
128,178.7686,72.5762,2
129,172.3003,75.5711,3
130,178.1934,72.0103,4
131,166.1805,76.3249,5
132,155.9320,68.6857,6
133,167.0232,70.2626,0
134,192.0597,78.8895,1
135,186.5072,75.7579,2
136,177.2802,76.3288,3
137,158.0297,64.0407,4
138,160.2155,71.2418,5
139,154.5208,66.0358,6
140,168.9390,70.7568,0
141,182.9672,80.1579,1
142,172.1175,66.9064,2
143,171.8739,74.8440,3
144,151.9232,58.6373,4
145,152.5736,67.0226,5
146,165.8845,68.8082,6
147,163.8438,59.3157,0
148,163.0822,65.6111,1
149,178.4819,62.4615,2
150,182.5169,67.6108,3
151,154.0239,62.5383,4
152,148.5918,58.2828,5
153,165.6066,56.8965,6
154,167.3486,59.2573,0
155,160.4830,60.2800,1
156,169.5012,61.9586,2
157,164.4036,64.4872,3
158,158.8584,60.8565,4
159,145.1983,60.5312,5
160,167.6540,59.9447,6
161,168.1798,62.9177,0
162,169.3374,62.8271,1
163,179.6130,64.1944,2
164,179.1028,57.9393,3
165,153.1600,62.7480,4
166,158.9079,61.9381,5
167,167.2071,63.1413,6
168,176.2355,61.0421,0
169,177.6556,65.7523,1
170,182.3596,64.5941,2
171,180.7984,62.2258,3
172,159.8441,61.5378,4
173,158.4078,56.3181,5
174,158.3198,63.0045,6
175,167.8917,58.1515,0
176,165.6040,47.2806,1
177,177.0705,56.0702,2
178,161.1151,52.1031,3
179,161.4235,61.5803,4
180,153.9101,51.7472,5
181,153.7532,59.5862,6
182,176.7549,55.6090,0
183,167.0613,62.6423,1
184,175.8589,59.8439,2
185,163.5178,50.3101,3
186,156.7104,51.7483,4
187,147.1243,53.6848,5
188,161.0508,53.3249,6
189,161.2380,51.1169,0
190,166.8329,49.9491,1
191,175.7242,56.8146,2
192,163.8160,51.7959,3
193,155.1458,54.2769,4
194,149.3853,49.1094,5
195,154.0745,52.4150,6
196,161.0254,55.8798,0
197,166.4048,47.6021,1
198,174.7487,47.5968,2
199,168.1719,51.1858,3
200,150.1815,48.6300,4
201,169.2209,57.1780,5
202,149.3109,49.3843,6
203,171.1153,50.4999,0
204,162.3318,44.7049,1
205,166.5636,49.5661,2
206,174.5011,51.9012,3
207,158.8874,52.2179,4
208,157.7772,51.6002,5
209,151.1688,48.9718,6
210,163.8249,44.9787,0
211,161.6255,51.2268,1
212,174.1786,47.7675,2
213,161.3057,44.6483,3
214,145.2384,39.4315,4
215,152.9193,48.9852,5
216,147.5183,41.6976,6
217,156.8400,44.4543,0
218,159.9610,45.2614,1
219,166.2893,40.6168,2
220,161.8628,45.2756,3
221,155.7423,41.8274,4
222,145.9345,45.3064,5
223,142.9896,39.5257,6
224,146.3599,35.9493,0
225,170.0908,40.9990,1
226,163.1878,36.5418,2
227,161.3526,41.8538,3
228,154.3474,42.0285,4
229,149.7779,44.0972,5
230,147.7744,46.3134,6
231,164.6317,45.0775,0
232,166.7818,43.2544,1
233,171.5447,44.8635,2
234,163.2772,37.6200,3
235,158.4420,41.9178,4
236,154.6785,47.6161,5
237,152.6976,44.4906,6
238,146.4469,33.1628,0
239,161.1340,41.4707,1
240,165.7677,40.5318,2
241,164.5044,39.4812,3
242,148.6572,40.3072,4
243,138.0317,34.7296,5
244,150.6758,38.3906,6
245,151.3233,32.0564,0
246,153.7741,30.1691,1
247,153.6721,32.4172,2
248,151.5508,32.7934,3
249,146.4515,41.5398,4
250,141.4550,34.7417,5
251,149.0793,33.6632,6
252,154.4754,37.4243,0
253,156.9262,30.5141,1
254,163.8917,40.4927,2
255,152.9800,31.5660,3
256,154.4755,38.5461,4
257,150.1558,33.3771,5
258,134.5351,22.7542,6
259,153.6192,36.1500,0
260,166.3511,37.0178,1
261,165.3688,38.2096,2
262,161.0039,37.5126,3
263,154.1498,32.0506,4
264,147.5229,31.2947,5
265,146.2297,30.0261,6
266,157.1790,32.5071,0
267,164.3749,38.7450,1
268,163.8025,36.6167,2
269,152.4056,31.8589,3
270,155.1979,35.8117,4
271,146.8475,35.7377,5
272,147.0679,33.4104,6
273,156.3462,35.2311,0
274,162.4476,37.7076,1
275,162.7451,32.0184,2
276,157.3298,40.2815,3
277,162.9220,36.9460,4
278,138.3355,37.6125,5
279,152.5604,35.6400,6
280,153.6915,34.1821,0
281,150.8059,27.3194,1
282,168.1065,38.1784,2
283,160.4472,35.7126,3
284,157.0220,35.4776,4
285,141.7983,32.7308,5
286,143.0648,37.6001,6
287,151.6717,31.8859,0
288,165.1898,34.8299,1
289,171.3006,42.3946,2
290,159.8864,37.4931,3
291,148.6137,39.2688,4
292,148.6925,39.6924,5
293,150.7574,31.2013,6
294,144.0551,29.5588,0
295,160.5645,37.1065,1
296,163.6484,36.3890,2
297,152.9742,27.6988,3
298,155.4730,42.7256,4
299,146.9280,34.4047,5
300,144.8717,40.2920,6
301,153.2260,32.2849,0
302,164.1987,40.5144,1
303,173.6747,41.2295,2
304,166.5255,38.9014,3
305,155.1379,39.8619,4
306,155.4090,36.3745,5
307,152.1104,33.4463,6
308,165.0442,37.6460,0
309,177.4213,39.3027,1
310,185.8100,47.9157,2
311,169.0480,40.4001,3
312,157.6684,39.8471,4
313,157.8649,45.0129,5
314,155.0107,40.4533,6
315,154.6286,36.4295,0
316,163.1505,40.6229,1
317,181.4390,43.1921,2
318,168.0100,41.3307,3
319,152.3173,38.7879,4
320,159.5886,52.2729,5
321,153.5218,33.8135,6
322,157.5809,43.2095,0
323,169.2325,40.4593,1
324,171.9299,41.7471,2
325,170.9027,44.4130,3
326,173.1343,43.6122,4
327,161.0628,40.2805,5
328,159.5022,38.7689,6
329,164.8908,41.5609,0
330,158.8097,39.4077,1
331,178.0093,40.1279,2
332,174.8061,44.4919,3
333,168.3488,44.2792,4
334,160.6971,44.4588,5
335,165.2895,44.5539,6
336,169.6517,43.2782,0
337,170.9633,38.9309,1
338,179.0949,47.3464,2
339,175.5620,46.4193,3
340,177.8717,49.6454,4
341,170.9908,49.8298,5
342,170.5106,46.7879,6
343,173.1891,47.2086,0
344,177.6474,44.8510,1
345,186.6711,52.5256,2
346,180.8392,45.0267,3
347,164.8743,48.6078,4
348,163.7050,46.6829,5
349,167.5749,51.9999,6
350,178.5100,55.7140,0
351,191.5013,61.4037,1
352,182.4523,50.3361,2
353,182.9501,52.7995,3
354,163.7911,46.0547,4
355,180.1331,56.0428,5
356,164.7842,50.4029,6
357,180.5983,54.0306,0
358,181.0664,45.7597,1
359,186.0253,48.7622,2
360,188.7302,49.3898,3
361,168.8493,52.2784,4
362,166.4531,55.0503,5
363,170.5010,55.7014,6
364,184.0205,59.9961,0
